Date,Load,avg_sunshine,avg_temp,COVID19_Index,Weekend_Holiday,Temp_sq,Sunshine_sq,Temp.Sunshine
2017-05-09,27852.5625,319.88166666666666,9.290281666666665,0.0,0,86.30933344600275,102324.28066944444,2971.7907833361105
2017-05-10,26235.97917,664.7006666666666,10.729448441666667,0.0,0,115.12106386238328,441826.976267111,7131.871532141461
2017-05-11,26504.47917,426.6336666666666,13.179448424999999,0.0,0,173.69786078723493,182016.2855334444,5622.796406201974
2017-05-12,27290.97917,42.9787,13.08528175,0.0,0,171.22459847688307,1847.1686536900004,562.3883987487251
2017-05-13,22290.95833,343.8213333333333,13.224448708333332,0.0,1,174.88604363933914,118213.10925511109,4546.847587497444
2017-05-14,21306.375,644.4396666666667,13.354448541666665,0.0,1,178.3412958520229,415302.48397344444,8606.136366708819
2017-05-15,26727.125,0.0,13.37444825,0.0,0,178.87586599192807,0.0,0.0
2017-05-16,26811.52083,145.16256666666666,17.51528191666667,0.0,0,306.78510062031046,21072.170761254445,2542.5632789135866
2017-05-17,28730.1875,18.9362,13.681947958333334,0.0,0,187.19569993454166,358.57967044,259.0841029285917
2017-05-18,26898.33333,335.6596666666667,11.861948125,0.0,0,140.705813320191,112667.41182677778,3981.5775536547917
2017-05-19,26731.20833,246.36766666666665,11.318615166666667,0.0,0,128.11104929109672,60697.02717877777,2788.540808509611
2017-05-20,22829.89583,188.32399999999998,10.453615000000001,0.0,1,109.27806656822501,35465.928975999996,1968.66659126
2017-05-21,21446.3125,382.56466666666665,12.736948500000002,0.0,1,162.22985709165232,146355.72418177777,4872.706457253001
2017-05-22,24969.45833,373.0843333333333,16.21028183333333,0.0,0,262.7732371160966,139191.91977877775,6047.802190934609
2017-05-23,26474.45833,668.79,15.511948583333334,0.0,0,240.62054885197702,447280.06409999996,10374.2360930475
2017-05-24,25910.375,779.0146666666666,17.931948416666668,0.0,0,321.5547740179942,606863.8508817777,13969.250818493443
2017-05-25,25370.14583,951.0526666666666,19.586114916666663,0.0,0,383.6158975288724,904501.1747737776,18627.426821135607
2017-05-26,23814.95833,959.9899999999999,18.915281958333335,0.0,0,357.7878915632505,921580.8000999998,18158.481527180415
2017-05-27,21319.9375,413.6273333333333,18.100281833333334,0.0,1,327.6202024460967,171087.5708804444,7486.771307303444
2017-05-28,20741.95833,458.95233333333334,17.367781583333333,0.0,1,301.63983712637247,210637.24427211113,7970.983882494527
2017-05-29,23273.41667,124.67399999999999,16.861114791666665,0.0,1,284.29719201776044,15543.606275999999,2102.14262553625
2017-05-30,25038.5,637.7863333333333,15.839448666666668,0.0,0,250.88813406396847,406771.4069867778,10102.18388713489
